,index,rent_address,stop_name,min_distance,min_duration,postcode
82,1141,1510-1-freshwater-place-southbank-vic-3006-16089972,Melton Railway Station (Melton South),2392.94,349.46,3006
83,665,level-35-3501-7-riverside-quay-southbank-vic-3006-16059042,Melton Railway Station (Melton South),2535.29,363.79,3006
84,39,602-250-city-road-southbank-vic-3006-16085393,Melton Railway Station (Melton South),1726.76,237.2,3006
85,215,705-26-southgate-avenue-southbank-vic-3006-16080371,Melton Railway Station (Melton South),2686.18,391.61,3006
86,1185,104-285-city-road-southbank-vic-3006-16088546,Melton Railway Station (Melton South),1708.72,214.85,3006
87,692,2204-250-city-road-southbank-vic-3006-16047014,Melton Railway Station (Melton South),1726.76,237.2,3006
88,360,1811-8-marmion-pl-docklands-vic-3008-16076987,Melton Railway Station (Melton South),1527.09,196.78,3008
89,1034,1112-8-mccrae-street-docklands-vic-3008-16086787,Melton Railway Station (Melton South),778.41,91.97,3008
90,371,1209-8-pearl-river-rd-docklands-vic-3008-16076547,Melton Railway Station (Melton South),1739.79,219.36,3008
91,492,1102-6-joseph-road-footscray-vic-3011-15336314,Melton Railway Station (Melton South),5010.27,528.22,3011
92,857,1201-8-joseph-road-footscray-vic-3011-16066987,Melton Railway Station (Melton South),5018.79,529.24,3011
93,572,705-8-joseph-road-footscray-vic-3011-16069015,Melton Railway Station (Melton South),5018.79,529.24,3011
94,1126,18-bell-street-seddon-vic-3011-16090272,Rockbank Railway Station (Rockbank),5813.55,615.18,3011
95,487,807-2-joseph-road-footscray-vic-3011-16073204,Melton Railway Station (Melton South),4892.63,514.1,3011
96,257,1303-8-joseph-road-footscray-vic-3011-16080780,Melton Railway Station (Melton South),5018.79,529.24,3011
97,550,705-8-joseph-road-footscray-vic-3011-16069015,Melton Railway Station (Melton South),5018.79,529.24,3011
98,573,705-8-joseph-road-footscray-vic-3011-16069015,Melton Railway Station (Melton South),5018.79,529.24,3011
99,548,705-8-joseph-road-footscray-vic-3011-16069015,Melton Railway Station (Melton South),5018.79,529.24,3011
100,547,705-8-joseph-road-footscray-vic-3011-16069015,Melton Railway Station (Melton South),5018.79,529.24,3011
101,224,2308-6-joseph-road-footscray-vic-3011-16080066,Melton Railway Station (Melton South),5010.27,528.22,3011
102,863,1201-8-joseph-road-footscray-vic-3011-16066987,Melton Railway Station (Melton South),5018.79,529.24,3011
103,203,1303-8-joseph-road-footscray-vic-3011-16080780,Melton Railway Station (Melton South),5018.79,529.24,3011
104,1255,609-2-joseph-road-footscray-vic-3011-15372330,Melton Railway Station (Melton South),4892.63,514.1,3011
105,78,1003-8-joseph-road-footscray-vic-3011-16084073,Melton Railway Station (Melton South),5018.79,529.24,3011
106,485,1-82-ashley-street-west-footscray-vic-3012-16073237,Rockbank Railway Station (Rockbank),6427.37,697.76,3012
107,815,313-110-roberts-street-west-footscray-vic-3012-16070615,Deer Park Railway Station (Deer Park),8097.93,813.22,3012
108,389,18-pitt-street-west-footscray-vic-3012-16076032,Rockbank Railway Station (Rockbank),6983.26,756.99,3012
109,878,65-francis-street-yarraville-vic-3013-16065715,Rockbank Railway Station (Rockbank),7041.93,690.15,3013
110,951,2-248-francis-street-yarraville-vic-3013-16063967,Rockbank Railway Station (Rockbank),8404.69,723.19,3013
111,710,38-urwin-street-yarraville-vic-3013-16068181,Rockbank Railway Station (Rockbank),8967.84,838.79,3013
112,398,1-16-vernon-street-south-kingsville-vic-3015-16075648,Deer Park Railway Station (Deer Park),9498.14,931.95,3015
113,654,7-11-15-basil-street-newport-vic-3015-16061402,Deer Park Railway Station (Deer Park),11571.77,1050.56,3015
114,994,10-gellibrand-street-williamstown-vic-3016-16061167,Rockbank Railway Station (Rockbank),12886.61,1172.18,3016
115,868,27-anzac-crescent-williamstown-vic-3016-16066020,Rockbank Railway Station (Rockbank),12598.49,1155.69,3016
116,439,10-3-robin-street-altona-vic-3018-16073665,Rockbank Railway Station (Rockbank),13248.24,1129.12,3018
117,1125,1-27-mcbain-st-altona-vic-3018-16090275,Rockbank Railway Station (Rockbank),13894.9,1153.68,3018
118,113,390-duke-street-sunshine-north-vic-3020-15333130,Rockbank Railway Station (Rockbank),6927.35,700.83,3020
119,691,rear-25-alfreida-st-st-albans-vic-3021-16048249,Melton Railway Station (Melton South),6601.04,639.03,3021
120,983,403-118-cairnlea-drive-cairnlea-vic-3023-16061980,Melton Railway Station (Melton South),4283.65,405.12,3023
121,494,16-macedon-close-caroline-springs-vic-3023-16072871,Albury Railway Station (Albury (NSW)),3236.76,431.48,3023
122,1041,61a-fifth-avenue-altona-north-vic-3025-16086328,Rockbank Railway Station (Rockbank),12105.62,853.02,3025
123,729,80c-first-ave-altona-north-vic-3025-16056452,Rockbank Railway Station (Rockbank),11734.85,817.3,3025
124,440,13-draconis-lane-williams-landing-vic-3027-16073635,Deer Park Railway Station (Deer Park),7663.72,561.44,3027
125,1114,37-hoddle-way-altona-meadows-vic-3028-16090729,Melton Railway Station (Melton South),14592.57,1082.03,3028
126,438,35-stratus-street-tarneit-vic-3029-16073803,Rockbank Railway Station (Rockbank),7301.81,673.55,3029
127,436,35-stratus-street-tarneit-vic-3029-16073803,Rockbank Railway Station (Rockbank),7301.81,673.55,3029
128,866,35-hoffman-cr-truganina-vic-3029-16066267,Ardeer Railway Station (Ardeer),3435.51,347.81,3029
129,724,37-award-crescent-truganina-vic-3029-16058731,Deer Park Railway Station (Deer Park),3894.95,410.91,3029
130,1095,9-garland-terrace-point-cook-vic-3030-15364222,Melton Railway Station (Melton South),11455.8,969.95,3030
131,1277,25-living-cres-point-cook-vic-3030-16054167,Melton Railway Station (Melton South),14814.45,1196.48,3030
132,592,4-121-wellington-st-flemington-vic-3031-16065041,Melton Railway Station (Melton South),5538.71,540.08,3031
133,582,25-wolseley-parade-kensington-vic-3031-16065752,Melton Railway Station (Melton South),4257.5,535.26,3031
134,720,16f-54-la-scala-avenue-maribyrnong-vic-3032-14989099,Rockbank Railway Station (Rockbank),8392.82,889.99,3032
135,683,1-28-ormond-road-ascot-vale-vic-3032-16052047,Melton Railway Station (Melton South),7036.1,671.95,3032
136,1049,21-330-sydenham-road-sydenham-vic-3037-16086162,Melton Railway Station (Melton South),8930.79,845.79,3037
137,799,12-108-maribyrnong-road-moonee-ponds-vic-3039-16015441,Melton Railway Station (Melton South),7708.98,711.81,3039
138,82,105-333-ascot-vale-rd-moonee-ponds-vic-3039-16083963,Melton Railway Station (Melton South),7534.96,731.57,3039
139,228,12-vine-street-moonee-ponds-vic-3039-16079832,Melton Railway Station (Melton South),7439.54,724.97,3039
140,218,5-141-park-street-moonee-ponds-vic-3039-16080239,Melton Railway Station (Melton South),9431.9,905.03,3039
141,41,80a-waverley-street-moonee-ponds-vic-3039-16085329,Melton Railway Station (Melton South),9074.84,858.9,3039
142,120,1a-ogilvie-st-essendon-vic-3040-16082587,Rockbank Railway Station (Rockbank),11196.67,1014.98,3040
143,222,8-10-lincoln-road-essendon-vic-3040-16080138,Melton Railway Station (Melton South),9980.81,935.17,3040
144,567,2-32-caroline-street-aberfeldie-vic-3040-16067388,Rockbank Railway Station (Rockbank),10878.43,1093.16,3040
145,1113,35-clifton-street-aberfeldie-vic-3040-16090841,Rockbank Railway Station (Rockbank),10633.59,1038.0,3040
146,884,2-16-lyon-street-essendon-vic-3040-16065350,Melton Railway Station (Melton South),10428.36,1020.5,3040
147,1015,6-8-10-lincoln-road-essendon-vic-3040-16087456,Melton Railway Station (Melton South),9980.81,935.17,3040
148,1249,4-4-essex-street-pascoe-vale-vic-3044-16056699,Melton Railway Station (Melton South),12618.25,1065.27,3044
149,1259,543-pascoe-vale-road-pascoe-vale-vic-3044-16056030,Melton Railway Station (Melton South),11740.91,955.95,3044
150,248,4-7-vale-street-pascoe-vale-vic-3044-16079115,Melton Railway Station (Melton South),11999.18,1040.05,3044
151,658,2-21-23-westgate-street-pascoe-vale-south-vic-3044-16060501,Melton Railway Station (Melton South),10360.38,893.32,3044
152,336,2-24-barunah-street-hadfield-vic-3046-16073906,,,,3046
153,471,9-139-melbourne-avenue-glenroy-vic-3046-16069112,,,,3046
154,1055,2-62-chapman-avenue-glenroy-vic-3046-16085659,,,,3046
155,305,4-48-william-street-glenroy-vic-3046-16077047,,,,3046
156,227,14-forbes-grove-oak-park-vic-3046-16079887,Melton Railway Station (Melton South),12846.58,1154.41,3046
157,715,202-9-13-o-connell-street-north-melbourne-vic-3051-16066203,Melton Railway Station (Melton South),2621.21,342.16,3051
158,1284,207-720-queensberry-street-north-melbourne-vic-3051-16052939,Melton Railway Station (Melton South),2381.32,317.79,3051
159,286,310-350-victoria-street-north-melbourne-vic-3051-16078102,Melton Railway Station (Melton South),2303.55,300.95,3051
160,379,315-188-peel-street-north-melbourne-vic-3051-16076223,Melton Railway Station (Melton South),2473.46,318.8,3051
161,1161,1-59-chapman-street-north-melbourne-vic-3051-16089219,Melton Railway Station (Melton South),3196.54,384.29,3051
162,739,202-9-13-o-connell-street-north-melbourne-vic-3051-16066203,Melton Railway Station (Melton South),2621.21,342.16,3051
163,1287,12-yates-lane-parkville-vic-3052-15148071,Melton Railway Station (Melton South),4858.26,460.67,3052
164,1175,2-39-morrah-st-parkville-vic-3052-15056186,Melton Railway Station (Melton South),3619.82,450.47,3052
165,818,27-elgin-street-carlton-vic-3053-16069803,Melton Railway Station (Melton South),4707.27,538.42,3053
166,58,g06-81-cemetery-road-carlton-vic-3053-16084878,Melton Railway Station (Melton South),4353.67,526.68,3053
167,1224,505-139-bouverie-street-carlton-vic-3053-14377358,Melton Railway Station (Melton South),3054.41,403.17,3053
168,1123,552-drummond-street-carlton-vic-3053-16090356,Melton Railway Station (Melton South),5070.31,570.44,3053
169,985,909-528-swanston-street-carlton-vic-3053-16061810,Melton Railway Station (Melton South),3089.77,380.04,3053
170,1163,219-528-swanston-street-carlton-vic-3053-16089175,Melton Railway Station (Melton South),3089.77,380.04,3053
171,146,880-swanston-street-carlton-vic-3053-16081935,Melton Railway Station (Melton South),4045.39,487.24,3053
172,1256,915-528-swanston-street-carlton-vic-3053-16056312,Melton Railway Station (Melton South),3089.77,380.04,3053
173,577,421-528-swanston-street-carlton-vic-3053-16066152,Melton Railway Station (Melton South),3089.77,380.04,3053
174,1222,87-canning-street-carlton-vic-3053-12678308,Melton Railway Station (Melton South),4791.51,560.46,3053
175,971,4-867-883-drummond-street-carlton-north-vic-3054-16063178,Melton Railway Station (Melton South),5774.86,663.59,3054
176,530,345-station-street-carlton-north-vic-3054-16070322,Melton Railway Station (Melton South),5845.0,666.22,3054
177,569,46-princes-st-carlton-north-vic-3054-16067211,Melton Railway Station (Melton South),5585.02,627.1,3054
178,1167,9-600-station-street-carlton-north-vic-3054-16089028,Melton Railway Station (Melton South),6598.61,706.92,3054
179,1237,97-collier-crescent-brunswick-west-vic-3055-16087893,Melton Railway Station (Melton South),7145.54,698.82,3055
180,1296,715-5-olive-york-way-brunswick-west-vic-3055-16051260,Melton Railway Station (Melton South),9791.59,825.72,3055
181,425,3-564c-moreland-road-brunswick-west-vic-3055-16074162,Melton Railway Station (Melton South),8695.09,694.63,3055
182,251,4-2-waxman-parade-brunswick-west-vic-3055-16078957,Melton Railway Station (Melton South),9547.66,817.4,3055
183,503,601-5-olive-york-way-brunswick-west-vic-3055-15143998,Melton Railway Station (Melton South),9791.59,825.72,3055
184,740,3-9-moule-street-brunswick-west-vic-3055-16042300,Melton Railway Station (Melton South),7160.22,673.3,3055
185,1197,8-39-heller-street-brunswick-west-vic-3055-16088313,Melton Railway Station (Melton South),6782.27,628.01,3055
186,865,3-14-mccoll-court-brunswick-west-vic-3055-16066377,Melton Railway Station (Melton South),9475.83,807.06,3055
187,54,10-5-allard-street-brunswick-west-vic-3055-16084995,Melton Railway Station (Melton South),7461.14,713.44,3055
188,97,504-1-olive-york-way-brunswick-west-vic-3055-15727179,Melton Railway Station (Melton South),9736.71,816.38,3055
189,972,614-5-olive-york-way-brunswick-west-vic-3055-15426148,Melton Railway Station (Melton South),9791.59,825.72,3055
190,979,107-358-moreland-road-brunswick-west-vic-3055-16062260,Melton Railway Station (Melton South),9582.21,765.88,3055
191,743,412-5-olive-york-way-brunswick-west-vic-3055-16041470,Melton Railway Station (Melton South),9791.59,825.72,3055
192,105,92-brunswick-road-brunswick-vic-3056-16083215,Melton Railway Station (Melton South),6210.63,657.5,3056
193,116,208-34-union-street-brunswick-vic-3056-16082673,Melton Railway Station (Melton South),6154.19,680.54,3056
194,296,208-5-union-street-brunswick-vic-3056-16077779,Melton Railway Station (Melton South),5983.39,658.86,3056
195,126,15-10-davies-street-brunswick-vic-3056-16082384,Melton Railway Station (Melton South),8016.55,901.85,3056
196,429,6-14-pitt-street-brunswick-vic-3056-16074091,Melton Railway Station (Melton South),7174.61,769.23,3056
