,rent_address,stop_name,min_distance,min_duration,postcode,price
73,1507-12-queens-rd-melbourne-vic-3004-16081919,Southern Cross Railway Station (Melbourne City),4016.17,537.13,3004,700.0
74,113-350-st-kilda-road-melbourne-vic-3004-16063679,Southern Cross Railway Station (Melbourne City),4053.24,444.08,3004,1500.0
75,705-26-southgate-avenue-southbank-vic-3006-16080371,Southern Cross Railway Station (Melbourne City),2686.18,391.61,3006,530.0
76,1603-250-city-road-southbank-vic-3006-16085712,Southern Cross Railway Station (Melbourne City),1726.76,237.2,3006,400.0
77,104-285-city-road-southbank-vic-3006-16088546,Southern Cross Railway Station (Melbourne City),1708.72,214.85,3006,550.0
78,602-250-city-road-southbank-vic-3006-16085393,Southern Cross Railway Station (Melbourne City),1726.76,237.2,3006,385.0
79,1306-285-city-road-southbank-vic-3006-16077906,Southern Cross Railway Station (Melbourne City),1708.72,214.85,3006,500.0
80,48-183-city-road-southbank-vic-3006-16088421,Southern Cross Railway Station (Melbourne City),2105.16,278.12,3006,750.0
81,2204-250-city-road-southbank-vic-3006-16047014,Southern Cross Railway Station (Melbourne City),1726.76,237.2,3006,475.0
82,3606-45-clarke-street-southbank-vic-3006-16052560,Southern Cross Railway Station (Melbourne City),1854.8,240.4,3006,650.0
83,3402-61-haig-street-southbank-vic-3006-15171750,Southern Cross Railway Station (Melbourne City),1652.71,224.1,3006,395.0
84,level-35-3501-7-riverside-quay-southbank-vic-3006-16059042,Southern Cross Railway Station (Melbourne City),2535.29,363.79,3006,850.0
85,1701a-60-dorcas-street-southbank-vic-3006-16053477,Southern Cross Railway Station (Melbourne City),3111.62,414.72,3006,400.0
86,1008-80-clarendon-street-southbank-vic-3006-16070358,Southern Cross Railway Station (Melbourne City),1573.0,204.97,3006,650.0
87,1510-1-freshwater-place-southbank-vic-3006-16089972,Southern Cross Railway Station (Melbourne City),2392.94,349.46,3006,640.0
88,1209-8-pearl-river-rd-docklands-vic-3008-16076547,Southern Cross Railway Station (Melbourne City),1739.79,219.36,3008,420.0
89,1811-8-marmion-pl-docklands-vic-3008-16076987,Southern Cross Railway Station (Melbourne City),1527.09,196.78,3008,480.0
90,1112-8-mccrae-street-docklands-vic-3008-16086787,Southern Cross Railway Station (Melbourne City),778.41,91.97,3008,445.0
91,2308-6-joseph-road-footscray-vic-3011-16080066,Southern Cross Railway Station (Melbourne City),5010.27,528.22,3011,400.0
92,705-8-joseph-road-footscray-vic-3011-16069015,Southern Cross Railway Station (Melbourne City),5018.79,529.24,3011,475.0
93,1102-6-joseph-road-footscray-vic-3011-15336314,Southern Cross Railway Station (Melbourne City),5010.27,528.22,3011,550.0
94,705-8-joseph-road-footscray-vic-3011-16069015,Southern Cross Railway Station (Melbourne City),5018.79,529.24,3011,475.0
95,1201-8-joseph-road-footscray-vic-3011-16066987,Southern Cross Railway Station (Melbourne City),5018.79,529.24,3011,485.0
96,807-2-joseph-road-footscray-vic-3011-16073204,Southern Cross Railway Station (Melbourne City),4892.63,514.1,3011,390.0
97,18-bell-street-seddon-vic-3011-16090272,Southern Cross Railway Station (Melbourne City),5813.55,615.18,3011,560.0
98,1303-8-joseph-road-footscray-vic-3011-16080780,Southern Cross Railway Station (Melbourne City),5018.79,529.24,3011,490.0
99,1003-8-joseph-road-footscray-vic-3011-16084073,Southern Cross Railway Station (Melbourne City),5018.79,529.24,3011,480.0
100,2003-8-joseph-road-footscray-vic-3011-16078798,Southern Cross Railway Station (Melbourne City),5018.79,529.24,3011,520.0
101,609-2-joseph-road-footscray-vic-3011-15372330,Southern Cross Railway Station (Melbourne City),4892.63,514.1,3011,800.0
102,705-8-joseph-road-footscray-vic-3011-16069015,Southern Cross Railway Station (Melbourne City),5018.79,529.24,3011,475.0
103,705-8-joseph-road-footscray-vic-3011-16069015,Southern Cross Railway Station (Melbourne City),5018.79,529.24,3011,475.0
104,705-8-joseph-road-footscray-vic-3011-16069015,Southern Cross Railway Station (Melbourne City),5018.79,529.24,3011,475.0
105,1201-8-joseph-road-footscray-vic-3011-16066987,Southern Cross Railway Station (Melbourne City),5018.79,529.24,3011,485.0
106,18-pitt-street-west-footscray-vic-3012-16076032,Ardeer Railway Station (Ardeer),6983.26,756.99,3012,590.0
