,rent_address,school_name,min_distance,min_duration,postcode,price
907,2-36-barkly-street-st-kilda-vic-3182-16088568,Avenel Primary School,690.13,111.69,3182,400.0
908,212-363-beaconsfield-parade-st-kilda-west-vic-3182-16089242,Warrandyte Primary School,768.13,126.4,3182,320.0
909,4-26-wellington-street-st-kilda-vic-3182-16072089,Avenel Primary School,722.79,109.82,3182,500.0
910,205-44-barkly-street-st-kilda-vic-3182-15694325,Avenel Primary School,615.79,102.97,3182,260.0
911,9-76-carlisle-street-st-kilda-vic-3182-16054050,Allansford and District Primary School,493.86,83.48,3182,650.0
912,8-38-fitzroy-street-st-kilda-vic-3182-16016713,Warrandyte Primary School,435.86,73.33,3182,495.0
913,27-352-canterbury-road-st-kilda-vic-3182-16050504,Warrandyte Primary School,335.71,55.32,3182,500.0
914,312-196-st-kilda-road-st-kilda-vic-3182-16075446,Hawthorn West Primary School,969.32,111.35,3182,450.0
915,10-193-fitzroy-street-st-kilda-vic-3182-16087017,Warrandyte Primary School,639.62,105.94,3182,470.0
916,24-3-herbert-street-st-kilda-vic-3182-16075447,Gisborne Primary School,370.05,88.81,3182,350.0
917,802-181-fitzroy-st-st-kilda-vic-3182-15915050,Warrandyte Primary School,355.79,64.02,3182,1975.0
918,107-182-barkly-street-st-kilda-vic-3182-16086941,Wandiligong Primary School,664.18,129.91,3182,420.0
919,204-171-173-inkerman-street-st-kilda-vic-3182-16015508,Hawthorn West Primary School,733.71,56.4,3182,370.0
920,12-7-alfred-square-st-kilda-vic-3182-16086740,Warrandyte Primary School,1293.78,198.32,3182,350.0
921,206-126-carlisle-street-st-kilda-vic-3182-16041005,Allansford and District Primary School,344.64,46.89,3182,495.0
922,2-52-alma-road-st-kilda-vic-3182-16077137,Hawthorn West Primary School,483.05,34.78,3182,330.0
923,2705-14-16-the-esplanade-st-kilda-vic-3182-16072154,Warrandyte Primary School,1242.77,187.56,3182,1300.0
924,13-9-fitzroy-street-st-kilda-vic-3182-16057589,Warrandyte Primary School,1146.5,182.35,3182,430.0
925,25-10-tennyson-street-st-kilda-vic-3182-16088206,Sandringham Primary School,524.9,125.97,3182,640.0
926,12-45-marine-parade-st-kilda-vic-3182-16059741,Eltham Primary School,756.75,179.86,3182,790.0
927,3-79-barkly-street-st-kilda-vic-3182-16063362,Warrandyte Primary School,855.04,125.57,3182,400.0
928,4c-21-the-esplanade-st-kilda-vic-3182-16088109,Warrandyte Primary School,1349.71,191.74,3182,450.0
929,4-9-marlton-crescent-st-kilda-vic-3182-16065793,Hamilton (Gray Street) Primary School,893.77,131.62,3182,390.0
930,5-2-kipling-street-st-kilda-vic-3182-16082197,Hamilton (Gray Street) Primary School,485.06,46.49,3182,325.0
931,803-6-st-kilda-road-st-kilda-vic-3182-16088439,Avenel Primary School,620.06,97.23,3182,410.0
932,4-73-alma-road-st-kilda-vic-3182-16068784,Hawthorn West Primary School,276.33,19.9,3182,425.0
933,14-21-marine-parade-st-kilda-vic-3182-16082302,Elphinstone Primary School,1039.5,188.89,3182,1300.0
934,8-16-chapel-street-st-kilda-vic-3182-16068250,Highton Primary School,359.03,31.57,3182,395.0
935,1-38-alma-rd-st-kilda-vic-3182-16080210,Hawthorn West Primary School,595.36,42.86,3182,450.0
936,5-9-marlton-crescent-st-kilda-vic-3182-16078497,Hamilton (Gray Street) Primary School,893.77,131.62,3182,520.0
937,4-260-st-kilda-road-st-kilda-vic-3182-16051315,Hawthorn West Primary School,955.23,107.96,3182,450.0
938,1-64-fitzroy-street-st-kilda-west-vic-3182-16090436,Warrandyte Primary School,204.44,43.16,3182,650.0
939,30-233-235-canterbury-road-st-kilda-west-vic-3182-16078085,Warrandyte Primary School,416.21,66.24,3182,310.0
940,7-50-carlisle-street-st-kilda-vic-3182-15751006,Allansford and District Primary School,717.16,105.4,3182,300.0
941,17-charles-street-st-kilda-vic-3182-14025729,Avenel Primary School,1233.68,183.23,3182,650.0
