,rent_address,mall,min_distance,min_duration,postcode,price
148,4-7-vale-street-pascoe-vale-vic-3044-16079115,206 Bourke Street,4905.01,642.77,3044,375.0
149,543-pascoe-vale-road-pascoe-vale-vic-3044-16056030,206 Bourke Street,4646.73,558.68,3044,410.0
150,2-21-23-westgate-street-pascoe-vale-south-vic-3044-16060501,206 Bourke Street,4872.11,496.78,3044,420.0
151,4-4-essex-street-pascoe-vale-vic-3044-16056699,Balnarring Village Shopping Centre,4446.33,436.29,3044,400.0
152,9-139-melbourne-avenue-glenroy-vic-3046-16069112,206 Bourke Street,4069.0,496.54,3046,300.0
153,4-48-william-street-glenroy-vic-3046-16077047,206 Bourke Street,3567.46,431.57,3046,380.0
154,14-forbes-grove-oak-park-vic-3046-16079887,206 Bourke Street,6809.57,756.87,3046,500.0
155,2-24-barunah-street-hadfield-vic-3046-16073906,Acland Court Shopping Centre,3795.92,409.67,3046,440.0
156,2-62-chapman-avenue-glenroy-vic-3046-16085659,206 Bourke Street,3286.97,391.39,3046,400.0
157,310-350-victoria-street-north-melbourne-vic-3051-16078102,Birallee Village Shopping Centre,364.37,42.15,3051,445.0
158,202-9-13-o-connell-street-north-melbourne-vic-3051-16066203,Birallee Village Shopping Centre,682.03,83.36,3051,395.0
159,207-720-queensberry-street-north-melbourne-vic-3051-16052939,Birallee Village Shopping Centre,1673.4,169.46,3051,565.0
160,410-9-13-o-connell-street-north-melbourne-vic-3051-16043326,Birallee Village Shopping Centre,682.03,83.36,3051,395.0
161,1-59-chapman-street-north-melbourne-vic-3051-16089219,Birallee Village Shopping Centre,2145.32,230.21,3051,475.0
162,315-188-peel-street-north-melbourne-vic-3051-16076223,Birallee Village Shopping Centre,534.28,59.99,3051,310.0
163,12-yates-lane-parkville-vic-3052-15148071,Acland Court Shopping Centre,3043.4,289.45,3052,780.0
164,2-39-morrah-st-parkville-vic-3052-15056186,Birallee Village Shopping Centre,1946.34,250.94,3052,480.0
165,552-drummond-street-carlton-vic-3053-16090356,Brandon Park Shopping Centre,2287.54,302.07,3053,900.0
166,915-528-swanston-street-carlton-vic-3053-16056312,Bendigo Marketplace,1083.17,146.99,3053,350.0
167,27-elgin-street-carlton-vic-3053-16069803,Brimbank Central Shopping Centre,1915.0,239.04,3053,585.0
168,219-528-swanston-street-carlton-vic-3053-16089175,Bendigo Marketplace,1083.17,146.99,3053,350.0
169,421-528-swanston-street-carlton-vic-3053-16066152,Bendigo Marketplace,1083.17,146.99,3053,350.0
170,505-139-bouverie-street-carlton-vic-3053-14377358,Birallee Village Shopping Centre,1115.23,144.36,3053,260.0
171,87-canning-street-carlton-vic-3053-12678308,Brimbank Central Shopping Centre,1999.23,261.09,3053,1100.0
172,g06-81-cemetery-road-carlton-vic-3053-16084878,Belmont Village,2347.08,293.63,3053,375.0
173,880-swanston-street-carlton-vic-3053-16081935,Bendigo Marketplace,2038.79,254.19,3053,1200.0
174,909-528-swanston-street-carlton-vic-3053-16061810,Bendigo Marketplace,1083.17,146.99,3053,345.0
175,9-600-station-street-carlton-north-vic-3054-16089028,206 Bourke Street,1947.37,224.52,3054,420.0
176,4-867-883-drummond-street-carlton-north-vic-3054-16063178,Acland Court Shopping Centre,1648.24,195.4,3054,500.0
177,345-station-street-carlton-north-vic-3054-16070322,Acland Court Shopping Centre,2514.29,305.72,3054,650.0
178,46-princes-st-carlton-north-vic-3054-16067211,Braybrook Shopping Centre,2558.73,312.2,3054,550.0
179,614-5-olive-york-way-brunswick-west-vic-3055-15426148,Acland Court Shopping Centre,2520.32,282.48,3055,440.0
180,601-5-olive-york-way-brunswick-west-vic-3055-15143998,Acland Court Shopping Centre,2520.32,282.48,3055,430.0
181,4-2-waxman-parade-brunswick-west-vic-3055-16078957,Altona Gate Shopping Centre,2082.04,239.89,3055,380.0
182,3-14-mccoll-court-brunswick-west-vic-3055-16066377,Acland Court Shopping Centre,2329.28,275.49,3055,400.0
183,715-5-olive-york-way-brunswick-west-vic-3055-16051260,Acland Court Shopping Centre,2520.32,282.48,3055,430.0
184,412-5-olive-york-way-brunswick-west-vic-3055-16041470,Acland Court Shopping Centre,2520.32,282.48,3055,450.0
