,rent_address,stop_name,min_distance,min_duration,postcode,price
65,2512-70-southbank-boulevard-southbank-vic-3006-16097066,Southern Cross Railway Station (Melbourne City),2265.0,318.12,3006,600.0
66,2902-250-city-road-southbank-vic-3006-16111286,Southern Cross Railway Station (Melbourne City),1726.76,237.2,3006,450.0
67,3511-151-city-road-southbank-vic-3006-16094411,Southern Cross Railway Station (Melbourne City),2015.66,278.72,3006,530.0
68,3-100-coventry-street-southbank-vic-3006-16111756,Southern Cross Railway Station (Melbourne City),3050.13,395.51,3006,520.0
69,312-57-spencer-street-docklands-vic-3008-16108605,Southern Cross Railway Station (Melbourne City),1148.76,116.34,3008,600.0
70,1108-81-south-wharf-drive-docklands-vic-3008-16107733,Southern Cross Railway Station (Melbourne City),2420.84,314.86,3008,520.0
71,808-2-joseph-road-footscray-vic-3011-15874277,Southern Cross Railway Station (Melbourne City),4892.63,514.1,3011,390.0
72,801-8-joseph-road-footscray-vic-3011-16109999,Southern Cross Railway Station (Melbourne City),5018.79,529.24,3011,475.0
73,801-8-joseph-road-footscray-vic-3011-16109999,Southern Cross Railway Station (Melbourne City),5018.79,529.24,3011,475.0
74,1508-6-joseph-road-footscray-vic-3011-16091829,Southern Cross Railway Station (Melbourne City),5010.27,528.22,3011,400.0
75,15-99-109-creswick-street-footscray-vic-3011-16105427,Southern Cross Railway Station (Melbourne City),6646.23,701.61,3011,280.0
76,512-4-joseph-rd-footscray-vic-3011-15583218,Southern Cross Railway Station (Melbourne City),4964.59,522.73,3011,520.0
77,1404-4-joseph-road-footscray-vic-3011-15362715,Southern Cross Railway Station (Melbourne City),4964.59,522.73,3011,410.0
78,1605-6-joseph-road-footscray-vic-3011-16109994,Southern Cross Railway Station (Melbourne City),5010.27,528.22,3011,520.0
79,6-217-buckley-street-seddon-vic-3011-16104892,Southern Cross Railway Station (Melbourne City),6258.76,674.4,3011,370.0
80,9-67-ballarat-rd-footscray-vic-3011-16098677,Southern Cross Railway Station (Melbourne City),6555.65,692.03,3011,370.0
81,1108-2-joseph-road-footscray-vic-3011-16113701,Southern Cross Railway Station (Melbourne City),4892.63,514.1,3011,405.0
82,1908-6-joseph-road-footscray-vic-3011-15399494,Southern Cross Railway Station (Melbourne City),5010.27,528.22,3011,410.0
83,210-12-napier-street-footscray-vic-3011-16100855,Southern Cross Railway Station (Melbourne City),4562.25,444.84,3011,630.0
84,1806-8-joseph-road-footscray-vic-3011-16109988,Southern Cross Railway Station (Melbourne City),5018.79,529.24,3011,690.0
85,1605-6-joseph-road-footscray-vic-3011-16109994,Southern Cross Railway Station (Melbourne City),5010.27,528.22,3011,520.0
86,1412-4-joseph-road-footscray-vic-3011-16106028,Southern Cross Railway Station (Melbourne City),4964.59,522.73,3011,400.0
87,1109-2-joseph-road-footscray-vic-3011-15421439,Southern Cross Railway Station (Melbourne City),4892.63,514.1,3011,530.0
88,7-regent-street-yarraville-vic-3013-16096035,Southern Cross Railway Station (Melbourne City),6753.29,687.94,3013,600.0
89,3-107-park-crescent-williamstown-north-vic-3016-16108944,Southern Cross Railway Station (Melbourne City),11591.87,1075.11,3016,500.0
90,20-illawarra-street-williamstown-vic-3016-16104991,Southern Cross Railway Station (Melbourne City),13176.62,1205.44,3016,595.0
91,51-spearmint-boulevard-manor-lakes-vic-3024-13582212,Wyndham Vale Railway Station (Manor Lakes),2534.53,260.91,3024,400.0
92,74-myers-parade-altona-meadows-vic-3028-16094320,Tarneit Railway Station (Tarneit),11735.64,921.4,3028,440.0
93,207-79-merton-street-altona-meadows-vic-3028-16107073,Tarneit Railway Station (Tarneit),12024.61,856.97,3028,350.0
94,36a-featherby-way-altona-meadows-vic-3028-16110093,Tarneit Railway Station (Tarneit),14284.82,1085.86,3028,395.0
95,30-390-queen-street-altona-meadows-vic-3028-16110953,Tarneit Railway Station (Tarneit),12040.28,852.79,3028,380.0
96,10-talliver-terrace-truganina-vic-3029-16111383,Tarneit Railway Station (Tarneit),3868.89,396.89,3029,370.0
97,106-stratus-street-tarneit-vic-3029-16100986,Tarneit Railway Station (Tarneit),7231.44,671.3,3029,480.0
98,1-3-weebill-court-werribee-vic-3030-14233278,Tarneit Railway Station (Tarneit),6831.7,643.09,3030,380.0
99,104-71-89-hobsons-road-kensington-vic-3031-16111222,Southern Cross Railway Station (Melbourne City),5316.56,549.39,3031,375.0
100,5-48-farnham-street-flemington-vic-3031-16103716,Southern Cross Railway Station (Melbourne City),5721.64,572.05,3031,310.0
101,913-1-ascot-vale-road-flemington-vic-3031-14811213,Southern Cross Railway Station (Melbourne City),5902.01,560.02,3031,420.0
102,207-8-burrowes-street-ascot-vale-vic-3032-16105755,Southern Cross Railway Station (Melbourne City),6985.98,675.41,3032,450.0
103,307-55-cumberland-drive-maribyrnong-vic-3032-16107543,Southern Cross Railway Station (Melbourne City),7897.96,845.69,3032,470.0
104,712-68-wests-road-maribyrnong-vic-3032-16093377,Ardeer Railway Station (Ardeer),9176.3,950.87,3032,360.0
105,1001b-2-wests-road-maribyrnong-vic-3032-16110067,Ardeer Railway Station (Ardeer),8764.2,907.92,3032,360.0
106,704-68-wests-road-maribyrnong-vic-3032-16092164,Ardeer Railway Station (Ardeer),9176.3,950.87,3032,475.0
107,25-maple-walk-moonee-ponds-vic-3039-16097397,Southern Cross Railway Station (Melbourne City),7826.24,760.72,3039,850.0
108,10-8-eddy-strret-moonee-ponds-vic-3039-16096123,Southern Cross Railway Station (Melbourne City),8105.52,802.93,3039,330.0
109,3-fortelny-way-moonee-ponds-vic-3039-16103083,Southern Cross Railway Station (Melbourne City),8961.14,872.56,3039,495.0
110,4-8-10-lincoln-road-essendon-vic-3040-16098657,Southern Cross Railway Station (Melbourne City),9980.81,935.17,3040,620.0
111,1-8-10-lincoln-road-essendon-vic-3040-16095553,Southern Cross Railway Station (Melbourne City),9980.81,935.17,3040,620.0
112,6-5-winifred-essendon-vic-3040-16105691,Southern Cross Railway Station (Melbourne City),11586.86,980.99,3040,500.0
113,12-8-10-lincoln-road-essendon-vic-3040-16091133,Southern Cross Railway Station (Melbourne City),9980.81,935.17,3040,750.0
114,51-carrington-road-niddrie-vic-3042-16112270,Deer Park Railway Station (Deer Park),13687.86,932.85,3042,900.0
115,1b-hazel-grove-pascoe-vale-vic-3044-16098940,Southern Cross Railway Station (Melbourne City),11277.55,963.24,3044,445.0
116,20a-park-street-pascoe-vale-vic-3044-16100660,Southern Cross Railway Station (Melbourne City),11594.44,942.91,3044,480.0
117,1-255-derby-street-pascoe-vale-vic-3044-15378014,Southern Cross Railway Station (Melbourne City),13538.13,1182.34,3044,440.0
118,7-55-pleasant-street-pascoe-vale-vic-3044-15507181,Southern Cross Railway Station (Melbourne City),12398.91,1094.36,3044,400.0
119,2-6-8-keogh-court-pascoe-vale-vic-3044-16099318,Southern Cross Railway Station (Melbourne City),12621.75,1103.41,3044,450.0
120,72-austin-crescent-pascoe-vale-vic-3044-16108578,Southern Cross Railway Station (Melbourne City),12734.0,1116.85,3044,550.0
121,2-12-sylvester-street-oak-park-vic-3046-16105234,Southern Cross Railway Station (Melbourne City),13011.98,1194.11,3046,525.0
122,2-14-gregory-street-oak-park-vic-3046-16095581,Southern Cross Railway Station (Melbourne City),12881.55,1162.81,3046,550.0
123,502-46-villiers-street-north-melbourne-vic-3051-16091326,Southern Cross Railway Station (Melbourne City),3102.67,367.97,3051,370.0
124,17-352-victoria-street-north-melbourne-vic-3051-16112376,Southern Cross Railway Station (Melbourne City),2329.1,303.26,3051,450.0
125,494-abbotsford-street-north-melbourne-vic-3051-16093609,Southern Cross Railway Station (Melbourne City),3385.82,375.1,3051,1295.0
126,109-380-queensberry-street-north-melbourne-vic-3051-14961044,Southern Cross Railway Station (Melbourne City),2558.46,339.02,3051,550.0
127,4-19-chapman-street-north-melbourne-vic-3051-16112887,Southern Cross Railway Station (Melbourne City),3318.78,401.89,3051,380.0
128,104-16-cobden-street-north-melbourne-vic-3051-16096636,Southern Cross Railway Station (Melbourne City),2699.92,352.47,3051,600.0
129,101-96-curzon-street-north-melbourne-vic-3051-16099695,Southern Cross Railway Station (Melbourne City),2386.34,285.74,3051,320.0
130,27-carroll-street-north-melbourne-vic-3051-16104463,Southern Cross Railway Station (Melbourne City),3701.07,431.31,3051,1050.0
131,210-445-royal-parade-parkville-vic-3052-16105650,Southern Cross Railway Station (Melbourne City),5086.74,586.59,3052,370.0
132,12-283-royal-parade-parkville-vic-3052-16096882,Southern Cross Railway Station (Melbourne City),4690.63,548.28,3052,420.0
133,815-91-galada-avenue-parkville-vic-3052-16108978,Southern Cross Railway Station (Melbourne City),5907.05,561.96,3052,480.0
134,21-361-royal-parade-parkville-vic-3052-16104740,Southern Cross Railway Station (Melbourne City),4916.46,555.94,3052,380.0
135,17-228-the-avenue-parkville-vic-3052-16104553,Southern Cross Railway Station (Melbourne City),5122.26,592.98,3052,330.0
136,112-124-palmerston-street-carlton-vic-3053-16103862,Southern Cross Railway Station (Melbourne City),4738.35,556.4,3053,500.0
137,108-139-143-bouverie-street-carlton-vic-3053-16100726,Southern Cross Railway Station (Melbourne City),3032.58,397.93,3053,260.0
138,10-21-university-street-carlton-vic-3053-10308643,Southern Cross Railway Station (Melbourne City),4081.41,483.93,3053,525.0
139,1-43-barkly-street-carlton-vic-3053-16114029,Southern Cross Railway Station (Melbourne City),4152.19,500.9,3053,460.0
140,706-111-leicester-street-carlton-vic-3053-16108027,Southern Cross Railway Station (Melbourne City),2996.64,407.38,3053,500.0
141,37-109-lygon-street-carlton-vic-3053-16105252,Southern Cross Railway Station (Melbourne City),3273.6,403.66,3053,250.0
142,11-406-cardigan-street-carlton-vic-3053-16107251,Southern Cross Railway Station (Melbourne City),4663.84,518.91,3053,780.0
143,159-richardson-street-carlton-north-vic-3054-16096889,Southern Cross Railway Station (Melbourne City),5691.17,646.16,3054,580.0
144,29-1066-lygon-street-carlton-north-vic-3054-16099369,Southern Cross Railway Station (Melbourne City),5970.68,657.16,3054,750.0
145,10-sutton-street-carlton-north-vic-3054-16097594,Southern Cross Railway Station (Melbourne City),5486.87,617.02,3054,625.0
146,24-macpherson-street-carlton-north-vic-3054-16092806,Southern Cross Railway Station (Melbourne City),6065.61,683.33,3054,650.0
147,804-1-olive-york-way-brunswick-west-vic-3055-15357145,Southern Cross Railway Station (Melbourne City),9736.71,816.38,3055,460.0
148,5-548-moreland-road-brunswick-west-vic-3055-16109592,Southern Cross Railway Station (Melbourne City),8777.63,700.59,3055,260.0
149,5-490-492-moreland-road-brunswick-west-vic-3055-16091467,Southern Cross Railway Station (Melbourne City),8731.85,696.23,3055,395.0
150,2-28-millward-street-brunswick-west-vic-3055-16103927,Southern Cross Railway Station (Melbourne City),6719.54,627.29,3055,595.0
151,6-230-dawson-street-brunswick-west-vic-3055-16103397,Southern Cross Railway Station (Melbourne City),7510.59,715.23,3055,375.0
152,1-3-guthrie-street-brunswick-west-vic-3055-16103784,Southern Cross Railway Station (Melbourne City),6596.95,617.01,3055,320.0
153,19-552-moreland-road-brunswick-west-vic-3055-16112090,Southern Cross Railway Station (Melbourne City),8746.9,697.82,3055,260.0
154,10-55-heller-street-brunswick-west-vic-3055-16099137,Southern Cross Railway Station (Melbourne City),6588.11,630.53,3055,330.0
155,12-39-heller-street-brunswick-west-vic-3055-16112167,Southern Cross Railway Station (Melbourne City),6782.27,628.01,3055,325.0
156,14-116-albert-street-brunswick-vic-3056-16099340,Southern Cross Railway Station (Melbourne City),7246.72,769.65,3056,395.0
157,399-brunswick-road-brunswick-vic-3056-16091358,Southern Cross Railway Station (Melbourne City),6789.86,644.93,3056,1200.0
158,213-albert-street-brunswick-vic-3056-16112143,Southern Cross Railway Station (Melbourne City),6738.0,756.54,3056,550.0
159,110-brunswick-road-brunswick-vic-3056-16103107,Southern Cross Railway Station (Melbourne City),6152.19,657.07,3056,570.0
160,1-339-brunswick-road-brunswick-vic-3056-16096511,Southern Cross Railway Station (Melbourne City),7108.28,657.8,3056,740.0
161,2-horne-street-brunswick-vic-3056-16107121,Southern Cross Railway Station (Melbourne City),6954.17,759.1,3056,1050.0
162,1-80-mitchell-street-brunswick-vic-3056-16104131,Southern Cross Railway Station (Melbourne City),8610.6,882.01,3056,460.0
163,116-288-albert-street-brunswick-vic-3056-16113457,Southern Cross Railway Station (Melbourne City),6608.28,737.86,3056,350.0
164,42-cassels-road-brunswick-vic-3056-16110238,Southern Cross Railway Station (Melbourne City),10729.55,870.95,3056,730.0
165,4-653-park-street-brunswick-vic-3056-16109007,Southern Cross Railway Station (Melbourne City),6014.67,644.46,3056,380.0
166,208-611-sydney-road-brunswick-vic-3056-15144017,Southern Cross Railway Station (Melbourne City),7205.67,810.63,3056,420.0
167,2-53-evans-street-brunswick-vic-3056-16092503,Southern Cross Railway Station (Melbourne City),7070.19,777.5,3056,550.0
168,306-267-277-lygon-street-brunswick-vic-3056-16099911,Southern Cross Railway Station (Melbourne City),7148.33,758.66,3056,600.0
169,7-walters-street-brunswick-vic-3056-16101017,Southern Cross Railway Station (Melbourne City),9159.89,862.19,3056,700.0
170,2b-donald-street-brunswick-vic-3056-16094762,Southern Cross Railway Station (Melbourne City),7818.35,875.12,3056,650.0
171,8-jenkin-street-brunswick-vic-3056-16107288,Southern Cross Railway Station (Melbourne City),7170.65,778.49,3056,925.0
172,71-amelia-street-brunswick-vic-3056-16111322,Southern Cross Railway Station (Melbourne City),6395.52,687.7,3056,800.0
173,3-allan-street-brunswick-vic-3056-16091524,Southern Cross Railway Station (Melbourne City),6912.78,751.65,3056,850.0
174,3-138-mitchell-street-brunswick-vic-3056-16104854,Southern Cross Railway Station (Melbourne City),8522.5,903.4,3056,350.0
175,476b-sydney-road-brunswick-vic-3056-16101831,Southern Cross Railway Station (Melbourne City),6739.39,754.13,3056,1100.0
176,313-1-brunswick-road-brunswick-east-vic-3057-16099118,Southern Cross Railway Station (Melbourne City),6993.13,749.96,3057,380.0
177,46-nicholson-street-brunswick-east-vic-3057-16112281,Southern Cross Railway Station (Melbourne City),7657.75,814.61,3057,780.0
178,4-31-33-o-connor-street-brunswick-east-vic-3057-16109419,Southern Cross Railway Station (Melbourne City),7112.17,767.83,3057,650.0
179,306-63-lygon-street-brunswick-east-vic-3057-16104850,Southern Cross Railway Station (Melbourne City),6407.7,701.92,3057,420.0
180,101-392-lygon-street-brunswick-east-vic-3057-16095591,Southern Cross Railway Station (Melbourne City),7645.9,802.05,3057,400.0
181,4-162-lygon-street-brunswick-east-vic-3057-16101848,Southern Cross Railway Station (Melbourne City),6840.12,735.29,3057,440.0
182,147-stewart-st-brunswick-east-vic-3057-16108585,Southern Cross Railway Station (Melbourne City),8005.77,841.71,3057,610.0
183,2-parkview-avenue-brunswick-east-vic-3057-16108388,Southern Cross Railway Station (Melbourne City),8762.9,921.52,3057,525.0
184,5-31-33-o-connor-street-brunswick-east-vic-3057-16109350,Southern Cross Railway Station (Melbourne City),7112.17,767.83,3057,900.0
185,204-294-lygon-street-brunswick-east-vic-3057-15429522,Southern Cross Railway Station (Melbourne City),7278.73,773.73,3057,575.0
186,106-273-lygon-street-brunswick-east-vic-3057-16095784,Southern Cross Railway Station (Melbourne City),7148.33,758.66,3057,575.0
187,45-victoria-street-brunswick-east-vic-3057-16105604,Southern Cross Railway Station (Melbourne City),8046.32,887.69,3057,550.0
188,714-11-urquhart-street-coburg-vic-3058-16097143,Southern Cross Railway Station (Melbourne City),13154.29,1139.63,3058,450.0
189,4-18-loch-street-coburg-vic-3058-16092618,Southern Cross Railway Station (Melbourne City),11431.51,932.05,3058,540.0
190,177-urquhart-street-coburg-vic-3058-16099429,Southern Cross Railway Station (Melbourne City),10704.99,1120.22,3058,600.0
191,1-flinders-street-coburg-vic-3058-15138487,Southern Cross Railway Station (Melbourne City),11788.57,976.19,3058,430.0
192,413-11-urquhart-street-coburg-vic-3058-15467995,Southern Cross Railway Station (Melbourne City),13154.29,1139.63,3058,450.0
193,46-mutton-road-fawkner-vic-3060-15915330,Southern Cross Railway Station (Melbourne City),16171.65,1363.49,3060,450.0
194,27-rocco-avenue-donnybrook-vic-3064-16098102,Donnybrook Railway Station (Donnybrook),672.47,107.5,3064,440.0
195,33-bell-street-fitzroy-vic-3065-16110446,Southern Cross Railway Station (Melbourne City),4615.11,547.78,3065,1350.0
196,14-65-george-street-fitzroy-vic-3065-16109661,Southern Cross Railway Station (Melbourne City),4222.23,531.24,3065,330.0
197,g05-237-napier-street-fitzroy-vic-3065-16099451,Southern Cross Railway Station (Melbourne City),4680.59,626.83,3065,595.0
198,47-bedford-street-collingwood-vic-3066-16105364,Southern Cross Railway Station (Melbourne City),4993.21,616.42,3066,550.0
199,1-127-cambridge-street-collingwood-vic-3066-16091234,Southern Cross Railway Station (Melbourne City),4901.45,617.75,3066,900.0
200,207-6-mater-street-collingwood-vic-3066-16091253,Southern Cross Railway Station (Melbourne City),5764.2,710.92,3066,550.0
201,3-15-17-bendigo-street-collingwood-vic-3066-16108579,Southern Cross Railway Station (Melbourne City),6536.57,783.05,3066,350.0
202,1008-68-cambridge-street-collingwood-vic-3066-16096565,Southern Cross Railway Station (Melbourne City),4643.6,562.71,3066,500.0
203,207g-31-napoleon-street-collingwood-vic-3066-16108865,Southern Cross Railway Station (Melbourne City),5514.7,654.41,3066,410.0
204,106-35-victoria-parade-collingwood-vic-3066-16093671,Southern Cross Railway Station (Melbourne City),4233.24,519.82,3066,500.0
205,706-75-wellington-street-collingwood-vic-3066-15210408,Southern Cross Railway Station (Melbourne City),4676.15,559.74,3066,600.0
206,206-470-smith-street-collingwood-vic-3066-16095724,Southern Cross Railway Station (Melbourne City),5702.63,692.17,3066,430.0
207,303-11-hoddle-street-collingwood-vic-3066-16093268,Southern Cross Railway Station (Melbourne City),5358.04,637.64,3066,390.0
208,11g-21-northumberland-street-collingwood-vic-3066-16110786,Southern Cross Railway Station (Melbourne City),4650.78,567.29,3066,550.0
209,406-631-victoria-street-abbotsford-vic-3067-16102921,Southern Cross Railway Station (Melbourne City),6584.36,776.05,3067,650.0
210,722-627-victoria-street-abbotsford-vic-3067-16102907,Southern Cross Railway Station (Melbourne City),6684.22,800.94,3067,400.0
211,6-241-nicholson-street-abbotsford-vic-3067-11018248,Southern Cross Railway Station (Melbourne City),6356.45,739.86,3067,340.0
212,608-627-victoria-street-abbotsford-vic-3067-16112055,Southern Cross Railway Station (Melbourne City),6684.22,800.94,3067,450.0
213,13-trenerry-crescent-abbotsford-vic-3067-14338216,Southern Cross Railway Station (Melbourne City),6756.7,779.95,3067,1080.0
214,12-valiant-street-abbotsford-vic-3067-16098146,Southern Cross Railway Station (Melbourne City),6429.67,768.26,3067,975.0
215,814-4-acacia-place-abbotsford-vic-3067-16097710,Southern Cross Railway Station (Melbourne City),6863.78,815.12,3067,380.0
216,114-4-acacia-place-abbotsford-vic-3067-16097009,Southern Cross Railway Station (Melbourne City),6863.78,815.12,3067,475.0
217,71-84-trenerry-crescent-abbotsford-vic-3067-16110976,Southern Cross Railway Station (Melbourne City),6976.2,802.53,3067,550.0
218,c306-11-shamrock-street-abbotsford-vic-3067-16103805,Southern Cross Railway Station (Melbourne City),6400.33,776.65,3067,550.0
219,201a-8-grosvenor-street-abbotsford-vic-3067-16093576,Southern Cross Railway Station (Melbourne City),6273.81,746.29,3067,410.0
220,1108-20-shamrock-street-abbotsford-vic-3067-15091677,Southern Cross Railway Station (Melbourne City),6430.9,783.99,3067,530.0
