,rent_address,school_name,min_distance,min_duration,postcode,price
668,7-717-toorak-road-kooyong-vic-3144-16077474,Hawthorn West Primary School,971.49,126.87,3144,1100.0
669,4-16-18-shaftesbury-avenue-malvern-vic-3144-16089440,Avoca Primary School,610.07,145.84,3144,750.0
670,2-11-mernda-road-kooyong-vic-3144-16076137,Dromana Primary School,1253.3,116.12,3144,550.0
671,1-77-darling-rd-malvern-east-vic-3145-16088796,Elphinstone Primary School,613.3,45.06,3145,525.0
672,4-11-tooronga-road-malvern-east-vic-3145-16090865,Avoca Primary School,66.33,4.77,3145,350.0
673,508-839-dandenong-road-malvern-east-vic-3145-16082365,Avoca Primary School,716.71,82.63,3145,360.0
675,205-2a-clarence-street-malvern-east-vic-3145-16069391,Avoca Primary School,623.74,69.79,3145,410.0
676,106-1059-1061-dandenong-road-malvern-east-vic-3145-16087078,Flemington Primary School,1191.43,130.84,3145,460.0
677,1-thurso-st-malvern-east-vic-3145-16077651,Eltham Primary School,2636.83,380.51,3145,550.0
678,3-798-warrigal-road-malvern-east-vic-3145-16079041,Alberton Primary School,803.47,99.61,3145,275.0
679,512-803-dandenong-road-malvern-east-vic-3145-16072805,Avoca Primary School,646.87,83.75,3145,500.0
680,402-1399-dandenong-road-malvern-east-vic-3145-16060867,Alberton Primary School,732.97,92.01,3145,650.0
681,5-419-waverley-road-malvern-east-vic-3145-16061833,Eaglehawk Primary School,928.54,114.11,3145,495.0
682,748-warrigal-road-malvern-east-vic-3145-14989490,Allansford and District Primary School,932.35,129.81,3145,470.0
683,2-69-darling-road-malvern-east-vic-3145-16090331,Sandringham Primary School,256.35,28.94,3145,850.0
684,104-226-waverley-road-malvern-east-vic-3145-16064029,St Andrews Primary School,433.51,61.03,3145,375.0
686,205-1059-1061-dandenong-road-malvern-east-vic-3145-16070994,Flemington Primary School,1191.43,130.84,3145,460.0
687,1-1013-dandenong-road-malvern-east-vic-3145-16081072,Warrnambool West Primary School,952.86,139.91,3145,525.0
688,2-997-dandenong-road-malvern-east-vic-3145-16081041,St Andrews Primary School,994.39,98.42,3145,400.0
689,6-919-dandenong-road-malvern-east-vic-3145-16075854,Warrnambool West Primary School,875.6,116.06,3145,365.0
690,14-grosvenor-road-glen-iris-vic-3146-16082500,Sandringham Primary School,1105.71,123.89,3146,520.0
691,2-49-osborne-avenue-glen-iris-vic-3146-16082650,Echuca Primary School,993.84,108.4,3146,770.0
692,12-70-edgar-street-north-glen-iris-vic-3146-16082708,Elphinstone Primary School,1329.36,207.71,3146,295.0
693,67-florizel-street-glen-iris-vic-3146-16082373,Eltham Primary School,929.31,112.24,3146,640.0
694,47-somerset-road-glen-iris-vic-3146-16067326,Warrnambool West Primary School,1199.22,151.21,3146,895.0
695,7-10-nash-st-glen-iris-vic-3146-16085807,Dromana Primary School,882.38,117.54,3146,370.0
696,207-770b-toorak-road-glen-iris-vic-3146-16065999,Heidelberg Primary School,564.07,67.78,3146,395.0
698,1492-malvern-road-glen-iris-vic-3146-16051441,Dromana Primary School,877.78,112.17,3146,230.0
699,310-770b-toorak-road-road-glen-iris-vic-3146-16081171,Heidelberg Primary School,441.64,53.87,3146,380.0
700,3-76-glen-iris-road-glen-iris-vic-3146-16081785,Dromana Primary School,383.75,37.71,3146,415.0
701,103-35-43-high-street-glen-iris-vic-3146-16087710,Allansford and District Primary School,176.61,14.85,3146,390.0
703,18-37-39-carroll-crescent-glen-iris-vic-3146-16088255,Echuca Primary School,1130.6,171.94,3146,490.0
704,4-73-edgar-st-north-glen-iris-vic-3146-16088705,Elphinstone Primary School,1355.64,192.8,3146,420.0
705,44-francis-cres-glen-iris-vic-3146-16085112,Alberton Primary School,1164.01,109.3,3146,995.0
706,1-lillian-street-glen-iris-vic-3146-16068377,St Andrews Primary School,1191.9,152.98,3146,1080.0
707,1-07-281-tooronga-road-glen-iris-vic-3146-16075662,Gisborne Primary School,1171.94,142.0,3146,595.0
708,14-straughan-st-glen-iris-vic-3146-16053776,Bacchus Marsh Primary School,1074.12,139.35,3146,1250.0
709,202-23-maverston-street-glen-iris-vic-3146-16018321,Belmont Primary School,1388.67,154.29,3146,500.0
710,g03-1457-high-street-glen-iris-vic-3146-16074275,Doncaster Primary School,349.78,39.33,3146,725.0
711,8-1512-malvern-road-glen-iris-vic-3146-16069445,Warrnambool West Primary School,693.96,77.42,3146,430.0
712,55-great-valley-road-glen-iris-vic-3146-16069673,St Andrews Primary School,1136.94,135.41,3146,685.0
713,10-304-tooronga-road-glen-iris-vic-3146-16078526,Gisborne Primary School,1120.67,125.01,3146,350.0
714,301-10-12-high-street-glen-iris-vic-3146-16072393,Allansford and District Primary School,232.57,20.6,3146,400.0
715,2-5-ellis-road-glen-iris-vic-3146-16073465,Eltham Primary School,915.92,96.32,3146,695.0
717,7-woolert-street-ashwood-vic-3147-16076375,Cheltenham Primary School,903.53,102.86,3147,400.0
718,7-reid-street-ashwood-vic-3147-16066841,Cudgee Primary School,1259.65,147.21,3147,625.0
719,26b-raymond-street-ashwood-vic-3147-16090168,Echuca Primary School,57.64,8.99,3147,600.0
720,12-carool-road-ashburton-vic-3147-16070361,Wodonga Primary School,106.74,13.41,3147,550.0
721,33-swanson-crescent-chadstone-vic-3148-16088383,Campbells Creek Primary School,1616.38,148.71,3148,650.0
722,40-atkinson-street-chadstone-vic-3148-16078388,Creswick Primary School,1215.25,106.75,3148,450.0
723,11-binalong-ave-chadstone-vic-3148-16079197,California Gully Primary School,1040.35,177.61,3148,525.0
724,4-32-adrian-street-chadstone-vic-3148-16002735,Ballarat Primary School (Dana Street),793.27,136.14,3148,615.0
725,9-hillcrest-avenue-chadstone-vic-3148-16090183,Ballarat Primary School (Dana Street),840.62,95.77,3148,525.0
726,1-26-adrian-street-chadstone-vic-3148-16081445,Ballarat Primary School (Dana Street),893.74,101.19,3148,465.0
727,1-12-cole-crescent-chadstone-vic-3148-16056418,Allansford and District Primary School,1100.69,156.51,3148,795.0
728,2-gateway-close-chadstone-vic-3148-15228933,Bacchus Marsh Primary School,1161.58,206.04,3148,495.0
729,37-margot-street-chadstone-vic-3148-16084833,California Gully Primary School,594.2,97.77,3148,395.0
730,2-ashby-court-chadstone-vic-3148-16088924,Bacchus Marsh Primary School,876.82,151.15,3148,510.0
731,2-28-rae-street-chadstone-vic-3148-16075959,California Gully Primary School,1282.46,121.54,3148,600.0
732,14-13-churchill-avenue-chadstone-vic-3148-16061665,Ballarat Primary School (Dana Street),564.78,73.71,3148,350.0
733,336-70-batesford-road-chadstone-vic-3148-15375409,Dromana Primary School,1110.82,169.73,3148,375.0
734,11-evans-street-chadstone-vic-3148-16079398,Campbells Creek Primary School,867.74,72.93,3148,590.0
735,2-11-therese-avenue-mount-waverley-vic-3149-16060186,Belmont Primary School,833.78,111.6,3149,495.0
736,2-47-briggs-street-mount-waverley-vic-3149-16063868,St Andrews Primary School,951.54,108.57,3149,850.0
737,54-kemp-avenue-mount-waverley-vic-3149-16080319,Avoca Primary School,721.76,128.42,3149,450.0
739,38-kauri-grove-glen-waverley-vic-3150-15889540,Cudgee Primary School,1320.69,186.79,3150,520.0
740,34-garrisson-drive-glen-waverley-vic-3150-16078539,Allansford and District Primary School,774.33,115.22,3150,629.0
741,2-burramine-road-glen-waverley-vic-3150-16065822,Avoca Primary School,849.56,125.07,3150,880.0
