rent_address,min_distance,min_duration
1306v-296-victoria-parade-east-melbourne-vic-3002-16067034,6336.05,744.06
15-40-harold-street-hawthorn-east-vic-3123-16066989,12713.82,1168.16
102-21-riversdale-road-hawthorn-vic-3122-16066891,10042.13,956.92
705-8-joseph-road-footscray-vic-3011-16069015,8677.85,978.58
705-8-joseph-road-footscray-vic-3011-16069015,8677.85,978.58
25-mimosa-avenue-oakleigh-south-vic-3167-14978035,19160.75,1659.73
2-257-barkly-street-st-kilda-vic-3182-16066559,5792.25,579.55
97-stafford-street-abbotsford-vic-3067-16066490,8724.84,983.4
26-thomas-street-south-windsor-vic-3181-16066356,6000.56,644.79
104-88-tram-road-doncaster-vic-3108-14825508,22381.67,1662.57
421-528-swanston-street-carlton-vic-3053-16066152,5914.38,666.88
3-22b-south-road-brighton-vic-3186-16065921,12514.53,1248.69
ug05-708-burwood-road-hawthorn-east-vic-3123-16065863,12696.5,1157.24
21-elm-grove-brighton-vic-3186-16065852,9814.73,1025.14
14-henderson-street-south-melbourne-vic-3205-16065791,493.99,83.99
18-214-kambrook-road-caulfield-vic-3162-16065771,11599.65,993.24
25-wolseley-parade-kensington-vic-3031-16065752,7620.94,896.11
78-marriage-rd-brighton-east-vic-3187-16065745,15003.39,1288.87
202-4-chapel-mews-south-yarra-vic-3141-16065573,5839.17,693.89
3-5-greig-court-elwood-vic-3184-16065526,7312.29,769.15
