,rent_address,stop_name,min_distance,min_duration,postcode,price
76,801-8-joseph-road-footscray-vic-3011-16109999,Lower Maribyrnong River land,805.35,104.57,3011,475.0
77,1108-2-joseph-road-footscray-vic-3011-16113701,Lower Maribyrnong River land,679.18,89.43,3011,405.0
78,1605-6-joseph-road-footscray-vic-3011-16109994,Lower Maribyrnong River land,796.83,103.55,3011,520.0
79,1806-8-joseph-road-footscray-vic-3011-16109988,Lower Maribyrnong River land,805.35,104.57,3011,690.0
80,15-99-109-creswick-street-footscray-vic-3011-16105427,"Pipemakers, Burndap and Footscay Park Parklands (COM)",2118.6,249.35,3011,280.0
81,512-4-joseph-rd-footscray-vic-3011-15583218,Lower Maribyrnong River land,751.15,98.07,3011,520.0
82,1508-6-joseph-road-footscray-vic-3011-16091829,Lower Maribyrnong River land,796.83,103.55,3011,400.0
83,9-67-ballarat-rd-footscray-vic-3011-16098677,Lower Maribyrnong River land,1769.15,212.03,3011,370.0
84,1605-6-joseph-road-footscray-vic-3011-16109994,Lower Maribyrnong River land,796.83,103.55,3011,520.0
85,801-8-joseph-road-footscray-vic-3011-16109999,Lower Maribyrnong River land,805.35,104.57,3011,475.0
86,1908-6-joseph-road-footscray-vic-3011-15399494,Lower Maribyrnong River land,796.83,103.55,3011,410.0
87,1404-4-joseph-road-footscray-vic-3011-15362715,Lower Maribyrnong River land,751.15,98.07,3011,410.0
88,7-regent-street-yarraville-vic-3013-16096035,"Williamstown Workshop, Piers & Stony Creek Backwash",2557.9,261.65,3013,600.0
89,3-107-park-crescent-williamstown-north-vic-3016-16108944,Jawbone Marine Sanctuary,1354.95,197.58,3016,500.0
90,20-illawarra-street-williamstown-vic-3016-16104991,Point Gellibrand Heritage Park,787.33,91.75,3016,595.0
91,51-spearmint-boulevard-manor-lakes-vic-3024-13582212,Melbourne Strategic Assessment Reserve,2248.72,170.28,3024,400.0
92,74-myers-parade-altona-meadows-vic-3028-16094320,Altona Meadows Natural Features Reserve,2289.26,266.83,3028,440.0
93,36a-featherby-way-altona-meadows-vic-3028-16110093,Altona Meadows Natural Features Reserve,288.1,41.49,3028,395.0
94,207-79-merton-street-altona-meadows-vic-3028-16107073,Altona Meadows Natural Features Reserve,2461.94,252.9,3028,350.0
95,30-390-queen-street-altona-meadows-vic-3028-16110953,Altona Meadows Natural Features Reserve,2567.95,267.41,3028,380.0
96,106-stratus-street-tarneit-vic-3029-16100986,Werribee Township Regional Park,3950.83,498.9,3029,480.0
97,10-talliver-terrace-truganina-vic-3029-16111383,Truganina South Nature Conservation Reserve,2036.32,251.93,3029,370.0
98,1-3-weebill-court-werribee-vic-3030-14233278,South Base Stone Historic Reserve,5033.82,438.27,3030,380.0
99,104-71-89-hobsons-road-kensington-vic-3031-16111222,Lower Maribyrnong River land,881.52,107.0,3031,375.0
100,913-1-ascot-vale-road-flemington-vic-3031-14811213,Lower Maribyrnong River land,1631.63,197.03,3031,420.0
101,5-48-farnham-street-flemington-vic-3031-16103716,Lower Maribyrnong River land,2713.75,338.96,3031,310.0
102,307-55-cumberland-drive-maribyrnong-vic-3032-16107543,Lower Maribyrnong River land,672.99,106.42,3032,470.0
103,207-8-burrowes-street-ascot-vale-vic-3032-16105755,"Pipemakers, Burndap and Footscay Park Parklands (COM)",1659.87,216.47,3032,450.0
104,1001b-2-wests-road-maribyrnong-vic-3032-16110067,Lower Maribyrnong River land,2415.26,267.56,3032,360.0
105,704-68-wests-road-maribyrnong-vic-3032-16092164,Lower Maribyrnong River land,2058.99,233.74,3032,475.0
106,712-68-wests-road-maribyrnong-vic-3032-16093377,Lower Maribyrnong River land,2058.99,233.74,3032,360.0
107,10-8-eddy-strret-moonee-ponds-vic-3039-16096123,"Pipemakers, Burndap and Footscay Park Parklands (COM)",3814.06,432.83,3039,330.0
108,25-maple-walk-moonee-ponds-vic-3039-16097397,"Pipemakers, Burndap and Footscay Park Parklands (COM)",3451.77,381.8,3039,850.0
109,3-fortelny-way-moonee-ponds-vic-3039-16103083,"Pipemakers, Burndap and Footscay Park Parklands (COM)",2551.89,348.39,3039,495.0
110,6-5-winifred-essendon-vic-3040-16105691,Lower Maribyrnong River land,3524.54,342.71,3040,500.0
111,4-8-10-lincoln-road-essendon-vic-3040-16098657,Lower Maribyrnong River land,2283.72,193.65,3040,620.0
112,1-8-10-lincoln-road-essendon-vic-3040-16095553,Lower Maribyrnong River land,2283.72,193.65,3040,620.0
113,12-8-10-lincoln-road-essendon-vic-3040-16091133,Lower Maribyrnong River land,2283.72,193.65,3040,750.0
114,51-carrington-road-niddrie-vic-3042-16112270,Lower Maribyrnong River land,2857.15,299.22,3042,900.0
115,2-6-8-keogh-court-pascoe-vale-vic-3044-16099318,Merri Creek Land (368 Mahoneys Rd),7066.94,599.95,3044,450.0
116,1b-hazel-grove-pascoe-vale-vic-3044-16098940,Merri Creek Land (368 Mahoneys Rd),7879.52,617.34,3044,445.0
117,7-55-pleasant-street-pascoe-vale-vic-3044-15507181,Lower Maribyrnong River land,8067.62,833.04,3044,400.0
118,72-austin-crescent-pascoe-vale-vic-3044-16108578,Merri Creek Land (368 Mahoneys Rd),7950.3,665.63,3044,550.0
119,1-255-derby-street-pascoe-vale-vic-3044-15378014,Merri Creek Land (368 Mahoneys Rd),5852.31,451.66,3044,440.0
120,20a-park-street-pascoe-vale-vic-3044-16100660,Lower Maribyrnong River land,6816.43,673.21,3044,480.0
121,2-12-sylvester-street-oak-park-vic-3046-16105234,Lower Maribyrnong River land,8233.97,924.41,3046,525.0
122,2-14-gregory-street-oak-park-vic-3046-16095581,Lower Maribyrnong River land,8103.54,893.11,3046,550.0
123,502-46-villiers-street-north-melbourne-vic-3051-16091326,Carlton Court House Historic Reserve,2650.15,318.34,3051,370.0
124,104-16-cobden-street-north-melbourne-vic-3051-16096636,Carlton Court House Historic Reserve,2073.66,237.38,3051,600.0
125,101-96-curzon-street-north-melbourne-vic-3051-16099695,Carlton Court House Historic Reserve,2708.19,297.74,3051,320.0
126,17-352-victoria-street-north-melbourne-vic-3051-16112376,Carlton Court House Historic Reserve,2224.1,249.61,3051,450.0
127,109-380-queensberry-street-north-melbourne-vic-3051-14961044,Carlton Court House Historic Reserve,1990.78,239.37,3051,550.0
128,4-19-chapman-street-north-melbourne-vic-3051-16112887,Carlton Court House Historic Reserve,3115.13,388.54,3051,380.0
129,27-carroll-street-north-melbourne-vic-3051-16104463,Lower Maribyrnong River land,3128.69,411.09,3051,1050.0
130,494-abbotsford-street-north-melbourne-vic-3051-16093609,Carlton Court House Historic Reserve,3707.67,387.1,3051,1295.0
131,21-361-royal-parade-parkville-vic-3052-16104740,Carlton Court House Historic Reserve,2585.47,295.75,3052,380.0
132,17-228-the-avenue-parkville-vic-3052-16104553,Carlton Court House Historic Reserve,2791.27,332.79,3052,330.0
133,12-283-royal-parade-parkville-vic-3052-16096882,Carlton Court House Historic Reserve,2359.64,288.08,3052,420.0
134,815-91-galada-avenue-parkville-vic-3052-16108978,Lower Maribyrnong River land,4306.91,525.3,3052,480.0
135,210-445-royal-parade-parkville-vic-3052-16105650,Carlton Court House Historic Reserve,2755.75,326.4,3052,370.0
136,1-43-barkly-street-carlton-vic-3053-16114029,Carlton Court House Historic Reserve,778.1,121.37,3053,460.0
137,112-124-palmerston-street-carlton-vic-3053-16103862,Carlton Court House Historic Reserve,562.58,90.22,3053,500.0
138,108-139-143-bouverie-street-carlton-vic-3053-16100726,Carlton Court House Historic Reserve,1504.81,192.01,3053,260.0
139,706-111-leicester-street-carlton-vic-3053-16108027,Carlton Court House Historic Reserve,1732.16,225.52,3053,500.0
140,10-21-university-street-carlton-vic-3053-10308643,Carlton Court House Historic Reserve,520.35,77.19,3053,525.0
141,11-406-cardigan-street-carlton-vic-3053-16107251,Carlton Court House Historic Reserve,762.94,80.22,3053,780.0
142,37-109-lygon-street-carlton-vic-3053-16105252,Carlton Court House Historic Reserve,1048.06,138.2,3053,250.0
143,159-richardson-street-carlton-north-vic-3054-16096889,Carlton Court House Historic Reserve,1790.27,207.47,3054,580.0
144,24-macpherson-street-carlton-north-vic-3054-16092806,Carlton Court House Historic Reserve,2164.71,244.64,3054,650.0
145,10-sutton-street-carlton-north-vic-3054-16097594,Carlton Court House Historic Reserve,1585.98,178.32,3054,625.0
146,29-1066-lygon-street-carlton-north-vic-3054-16099369,Carlton Court House Historic Reserve,2069.79,218.47,3054,750.0
147,19-552-moreland-road-brunswick-west-vic-3055-16112090,Lower Maribyrnong River land,5401.96,535.51,3055,260.0
148,12-39-heller-street-brunswick-west-vic-3055-16112167,Carlton Court House Historic Reserve,4493.62,458.38,3055,325.0
149,1-3-guthrie-street-brunswick-west-vic-3055-16103784,Lower Maribyrnong River land,4878.55,549.02,3055,320.0
150,5-490-492-moreland-road-brunswick-west-vic-3055-16091467,Lower Maribyrnong River land,6851.19,722.27,3055,395.0
151,804-1-olive-york-way-brunswick-west-vic-3055-15357145,Lower Maribyrnong River land,6047.8,637.71,3055,460.0
152,6-230-dawson-street-brunswick-west-vic-3055-16103397,Lower Maribyrnong River land,5075.03,517.78,3055,375.0
153,10-55-heller-street-brunswick-west-vic-3055-16099137,Carlton Court House Historic Reserve,4629.8,480.84,3055,330.0
154,2-28-millward-street-brunswick-west-vic-3055-16103927,Carlton Court House Historic Reserve,4340.02,443.79,3055,595.0
155,5-548-moreland-road-brunswick-west-vic-3055-16109592,Lower Maribyrnong River land,5432.68,538.28,3055,260.0
156,42-cassels-road-brunswick-vic-3056-16110238,Carlton Court House Historic Reserve,5852.71,576.07,3056,730.0
157,399-brunswick-road-brunswick-vic-3056-16091358,Carlton Court House Historic Reserve,4328.7,441.69,3056,1200.0
158,2-horne-street-brunswick-vic-3056-16107121,Carlton Court House Historic Reserve,3229.73,324.01,3056,1050.0
159,4-653-park-street-brunswick-vic-3056-16109007,Carlton Court House Historic Reserve,2924.94,307.4,3056,380.0
160,213-albert-street-brunswick-vic-3056-16112143,Carlton Court House Historic Reserve,3972.45,419.4,3056,550.0
161,3-138-mitchell-street-brunswick-vic-3056-16104854,Carlton Court House Historic Reserve,4621.6,464.7,3056,350.0
162,7-walters-street-brunswick-vic-3056-16101017,Carlton Court House Historic Reserve,5827.93,536.47,3056,700.0
163,2b-donald-street-brunswick-vic-3056-16094762,Carlton Court House Historic Reserve,5505.43,511.55,3056,650.0
164,1-339-brunswick-road-brunswick-vic-3056-16096511,Carlton Court House Historic Reserve,3828.79,395.64,3056,740.0
165,116-288-albert-street-brunswick-vic-3056-16113457,Carlton Court House Historic Reserve,4298.17,427.9,3056,350.0
166,2-53-evans-street-brunswick-vic-3056-16092503,Carlton Court House Historic Reserve,3507.38,356.86,3056,550.0
167,71-amelia-street-brunswick-vic-3056-16111322,Carlton Court House Historic Reserve,2964.73,322.78,3056,800.0
168,306-267-277-lygon-street-brunswick-vic-3056-16099911,Carlton Court House Historic Reserve,3247.44,319.96,3056,600.0
169,14-116-albert-street-brunswick-vic-3056-16099340,Carlton Court House Historic Reserve,3345.82,330.95,3056,395.0
170,8-jenkin-street-brunswick-vic-3056-16107288,Carlton Court House Historic Reserve,3269.75,339.79,3056,925.0
171,110-brunswick-road-brunswick-vic-3056-16103107,Carlton Court House Historic Reserve,2968.78,312.27,3056,570.0
172,476b-sydney-road-brunswick-vic-3056-16101831,Carlton Court House Historic Reserve,4433.89,420.1,3056,1100.0
173,208-611-sydney-road-brunswick-vic-3056-15144017,Carlton Court House Historic Reserve,4903.95,467.61,3056,420.0
174,3-allan-street-brunswick-vic-3056-16091524,Carlton Court House Historic Reserve,3311.39,327.92,3056,850.0
175,1-80-mitchell-street-brunswick-vic-3056-16104131,Carlton Court House Historic Reserve,4709.7,443.31,3056,460.0
176,147-stewart-st-brunswick-east-vic-3057-16108585,Carlton Court House Historic Reserve,4104.87,403.02,3057,610.0
177,4-162-lygon-street-brunswick-east-vic-3057-16101848,Carlton Court House Historic Reserve,2939.23,296.6,3057,440.0
178,2-parkview-avenue-brunswick-east-vic-3057-16108388,Carlton Court House Historic Reserve,4862.0,482.83,3057,525.0
179,306-63-lygon-street-brunswick-east-vic-3057-16104850,Carlton Court House Historic Reserve,2506.8,263.22,3057,420.0
